title_ru,title_en,images,description,characteristics
Английские розы Дэвида Остина Molineux’ = ‘AUSmol,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/b4a/556_556_2/zc37rvsedmt1z1m6v8vq9hs0d9ku6phw.jpg; /upload/resize_cache/iblock/6ec/355_247_2/4am7up2626yk9pefhrp9gpq2zflpcby0.jpg; /upload/resize_cache/iblock/7bb/355_247_2/08wmc3ibzw311ulju42gvq54m18xaddl.jpg; /upload/resize_cache/iblock/6f4/355_247_2/iwx1xo32h79keuah4blsetz75t66uz7k.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Молинью (D. Austin, 1994) — бутоны заостренно-овальные, шаровидные. Цветки насыщенно-жёлтые, с оранжевым оттенком, розетковидные, средние (7 см), очень густомахровые (110–120 лп.), с чайным ароматом, в небольших соцветиях. Листья крупные, кожистые. Шипы редкие, средние, крючковидные. Кусты среднерослые, 90–100 см высотой, прямые, хорошей формы. Цветение обильное, продолжительное. Достаточно устойчив к болезням. Зимостойкий. Для небольших групп, солитеров, бордюров. Награды: Дюрбанвиль, золотая медаль, 1993.",
Английские розы Дэвида Остина St. Swithun’ = ‘AUSwith,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/f73/556_556_2/kfxo8dhd62v0q5cx06jmkpnhjmm7xanc.jpg; /upload/resize_cache/iblock/6ec/355_247_2/4am7up2626yk9pefhrp9gpq2zflpcby0.jpg; /upload/resize_cache/iblock/7bb/355_247_2/08wmc3ibzw311ulju42gvq54m18xaddl.jpg; /upload/resize_cache/iblock/6f4/355_247_2/iwx1xo32h79keuah4blsetz75t66uz7k.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Сант Свизан (D. Austin, 1993) — цветки нежно-розовые с перламутровым оттенком, в центре ярче, до белых, шарообразные до чашевидных, средние (7,5–8,5 см), густомахровые, с лёгким ароматом (миртовый), в небольших соцветиях. Шипов немного. Листья средние, полублестящие. Кусты среднерослые, 90–110 см высотой, густые, хорошей формы. Цветение обильное. Устойчивость к болезням средняя. Достаточно зимостоек. Для солитеров, групп,смешанных посадок.",
Английские розы Дэвида Остина Summer Song,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/73c/556_556_2/n2y1pgvqd272juxgmg8t308d705xffv6.jpg; /upload/resize_cache/iblock/6ec/355_247_2/4am7up2626yk9pefhrp9gpq2zflpcby0.jpg; /upload/resize_cache/iblock/7bb/355_247_2/08wmc3ibzw311ulju42gvq54m18xaddl.jpg; /upload/resize_cache/iblock/6f4/355_247_2/iwx1xo32h79keuah4blsetz75t66uz7k.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Саммер Сонг (D. Austin, 2005) — бутоны округлые. Цветки оранжевые, шаровидные до чашевидных, крупные (9–10 см), густомахровые (80 лп.), с насыщенным ароматом, в небольших соцветиях. Листья средние, тёмно-зелёные, полублестящие. Шипы умеренные, средние, крючковидные, красные. Кусты прямые, высотой 120 см, густые. Цветение обильное. Устойчив к болезням. Зимостойкий. Для групп, солитеров. Сорт отличается яркой окраской.",
Английские розы Дэвида Остина The Generous Gardener’ = ‘AUSdrawn,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/49c/556_556_2/o03btq1mepu2tjp95leu8q59iisa4to1.jpg; /upload/resize_cache/iblock/6ec/355_247_2/4am7up2626yk9pefhrp9gpq2zflpcby0.jpg; /upload/resize_cache/iblock/7bb/355_247_2/08wmc3ibzw311ulju42gvq54m18xaddl.jpg; /upload/resize_cache/iblock/6f4/355_247_2/iwx1xo32h79keuah4blsetz75t66uz7k.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Зе Джинероуз Гарденер (D. Austin, 2002) — цветки розовые, в центре нежно-розовые, чашевидные, средние (6 см), очень густомахровые, с интенсивным запахом, в небольших соцветиях. Листья тёмно-зелёные, блестящие. Шипы средние, вогнутые. Кусты хорошей формы, густые, высокие, 1,5 м высотой. Цветение обильное. Достаточно устойчив к болезням. Зимостойкий. Для небольших групп, солитеров, смешанных посадок. Награды: Гаага, приз за аромат, 2006; Гаага, серебряный сертификат, 2006.",
Английские розы Дэвида Остина William Shakespeare 2000’ = ‘AUSromeo,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/bf2/556_556_2/coh7j7m8kipggcau3np8y5c7fpxroslr.jpg; /upload/resize_cache/iblock/6ec/355_247_2/4am7up2626yk9pefhrp9gpq2zflpcby0.jpg; /upload/resize_cache/iblock/7bb/355_247_2/08wmc3ibzw311ulju42gvq54m18xaddl.jpg; /upload/resize_cache/iblock/6f4/355_247_2/iwx1xo32h79keuah4blsetz75t66uz7k.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Вильям Шекспир 2000 (D. Austin, 2000) — бутоны овально-заострённые. Цветки тёмно-малиново-пурпурные, бархатистые, до лиловых, чашевидные, крупные (10–11 см), очень густомахровые, с интенсивным дамасским ароматом, одиночные и в небольших соцветиях. Листья крупные, тёмно-зелёные, матовые. Шипы редкие, пурпурно-красноватые, загнутые.Кусты среднерослые, высотой 110 см, прямые, густые, хорошей формы, быстрорастущие. Цветение обильное. Достаточно устойчив к болезням. Зимостойкий. Для групп, солитеров.",
Миниатюрные розы Allegro Symphonia’ = ‘MEIlauron,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/598/556_556_2/w60uo47ihu0jka4rv1zyjf17i3zf0kgb.jpg; /upload/resize_cache/iblock/051/355_247_2/dnrnw0c0oh9ys23g9d7o7o8dcwduxxoc.jpg; /upload/resize_cache/iblock/f14/355_247_2/wzw7l2uj3flzmb31we6q55r3dba7k334.jpg; /upload/resize_cache/iblock/2b5/355_247_2/v578tygufcdsgv3vboclbpygh6v2db48.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Аллегро Симфони (Meilland, 2004) — цветки лососёвые, с обратной стороны жёлтые, крупные (6 см), густомахровые (70–80 лп.), одиночные и в соцветиях по 2–5 шт. Листья тёмно-зелёные, блестящие. Кусты компактные, 40–45 см. Цветение обильное. Достаточно устойчив к болезням. Зимостойкость средняя. Для групп, срезки, контейнеров.",
Миниатюрные розы Amulett,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/051/556_556_2/dnrnw0c0oh9ys23g9d7o7o8dcwduxxoc.jpg; /upload/resize_cache/iblock/598/355_247_2/w60uo47ihu0jka4rv1zyjf17i3zf0kgb.jpg; /upload/resize_cache/iblock/f14/355_247_2/wzw7l2uj3flzmb31we6q55r3dba7k334.jpg; /upload/resize_cache/iblock/2b5/355_247_2/v578tygufcdsgv3vboclbpygh6v2db48.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Амулет (Tantau, 1991) — бутоны округлые. Цветки малиново-розовые, красивой помпоновидной формы, с черепитчатым расположением лепестков, средние (4–5 см), густомахровые (60–70 лп.), без запаха, одиночные и в соцветиях, на прочных цветоносах. Листья тёмно-зелёные, средние. Кусты 50 см высотой, густые, хорошо облиственные. Цветение обильное, очень продолжительное. Устойчив к болезням. Зимостойкий. Для групп, срезки, горшечной культуры, украшения террас, контейнерной и штамбовой культуры. Сорт отличается высокой декоративностью.",
Миниатюрные розы Baby Baccara’ = ‘MEIpaede,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/f14/556_556_2/wzw7l2uj3flzmb31we6q55r3dba7k334.jpg; /upload/resize_cache/iblock/598/355_247_2/w60uo47ihu0jka4rv1zyjf17i3zf0kgb.jpg; /upload/resize_cache/iblock/051/355_247_2/dnrnw0c0oh9ys23g9d7o7o8dcwduxxoc.jpg; /upload/resize_cache/iblock/2b5/355_247_2/v578tygufcdsgv3vboclbpygh6v2db48.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Бейби Баккара (Meilland, 2002) — бутоны слегка заострённые. Цветки красные, с бархатистым оттенком, крупные (5–6 см), махровые (50–60 лп.), в соцветиях по 2–5 шт. Листья тёмно-зелёные, кожистые, блестящие. Кусты 35–45 см высотой, компактные. Цветение обильное. Достаточно устойчив к болезням. Зимостойкий. Для групп, контейнеров, штамбовой формы.",
Миниатюрные розы Bigoudi’ = ‘MEIflizet,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/2b5/556_556_2/v578tygufcdsgv3vboclbpygh6v2db48.jpg; /upload/resize_cache/iblock/598/355_247_2/w60uo47ihu0jka4rv1zyjf17i3zf0kgb.jpg; /upload/resize_cache/iblock/051/355_247_2/dnrnw0c0oh9ys23g9d7o7o8dcwduxxoc.jpg; /upload/resize_cache/iblock/f14/355_247_2/wzw7l2uj3flzmb31we6q55r3dba7k334.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Бигуди (Meilland, 2001) — бутоны заострённые. Цветки красные с жёлтыми полосками, крупные (5 см), махровые (25 лп.), с лёгким ароматом, в соцветиях от 6 до 15 шт. Листья тёмно-зелёные, кожистые, блестящие. Кусты компактные, 30–40 см высотой. Цветение обильное. Устойчивость к болезням и зимостойкость средняя. Для групп, контейнеров. Сорт оригинальной окраски.",
Миниатюрные розы Blue Mist,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/6ba/556_556_2/kpk76npb9nx24q742wb4j0g0e0xn1lw5.jpg; /upload/resize_cache/iblock/598/355_247_2/w60uo47ihu0jka4rv1zyjf17i3zf0kgb.jpg; /upload/resize_cache/iblock/051/355_247_2/dnrnw0c0oh9ys23g9d7o7o8dcwduxxoc.jpg; /upload/resize_cache/iblock/f14/355_247_2/wzw7l2uj3flzmb31we6q55r3dba7k334.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Блу Мист (R.S. Moore, 1970) — бутоны округлые, мелкие, лиловые. Цветки нежно-розовые до лилово-розовых, открытые, мелкие (2 см), слабомахровые (20 лп.), очень душистые, в соцветиях от 11 до 25 шт. Листья светло-зелёные, мягкие, здоровые. Шипы редкие. Кусты 50-60 см высотой, густые, ровные, компактные. Цветение обильное, дружное. Устойчив к грибным болезням. Зимостойкий. Для групп, горшечной культуры.",
Миниатюрные розы Charmant’ = ‘KORpeligo,N/A,/local/templates/ruspitomniki/assets/images/logo-light.svg; /local/templates/ruspitomniki/assets/images/main-visual/about-1920x369.jpg; /upload/resize_cache/iblock/695/556_556_2/w9c8scg22sxy0xt0xmx21fjen0ukm705.jpg; /upload/resize_cache/iblock/598/355_247_2/w60uo47ihu0jka4rv1zyjf17i3zf0kgb.jpg; /upload/resize_cache/iblock/051/355_247_2/dnrnw0c0oh9ys23g9d7o7o8dcwduxxoc.jpg; /upload/resize_cache/iblock/f14/355_247_2/wzw7l2uj3flzmb31we6q55r3dba7k334.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/1.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/2.jpg; /local/templates/ruspitomniki/assets/images/fast-blocks/3.jpg; /upload/resize_cache/iblock/60b/355_303_2/ckoizvu9000reevi5wxhr1s85388d3v1.jpg; /upload/resize_cache/iblock/c39/355_303_2/k60em8x1lsfh9bisw51rlxuy6ljaqpkv.png; /upload/resize_cache/sender/9ae/355_303_2/u25hlyac5m7dx3hhkupugyot5cwxyj4e.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /upload/resize_cache/iblock/b48/355_303_2/51n291orairtx5e4fqyyoeirpg1lc0fu.jpeg; /upload/resize_cache/iblock/0e3/355_303_2/xnn30m6i0dnelrhkpm1vkvyjw7t7ldio.jpg; /upload/resize_cache/iblock/419/355_303_2/5gg0ygf4htslb3u6jhvt9dag99l4cck3.jpg; /upload/resize_cache/iblock/4eb/355_303_2/dnz2ojix8um20evyrld1g4ev5gh2tmus.jpg; /upload/resize_cache/iblock/7b7/355_303_2/zwwu8bgmd7w8p33aua8do20buymaqm11.png; /local/templates/ruspitomniki/assets/images/interactions/0.jpg; /local/templates/ruspitomniki/assets/images/interactions/gost.jpg; /local/templates/ruspitomniki/assets/images/logo-light.svg,"Шарман (W. Kordes’ S., 1999) — бутоны округлые. Цветки розовые с переливом, с жёлто-белым центром и кремово-белой обратной стороной, крупные (4 см), махровые (30 лп.), душистые, в крупных соцветиях. Листья тёмно-зелёные, кожистые, блестящие. Кусты широкие, густые, до 50 см высотой. Цветение обильное, одни цветки, не видно листьев. Зимостойкий. Устойчив к болезням. Для групп, бордюров, штамбовой культуры. Сорт отличается высокой декоративностью и дружным обильным цветением. Относится к серии ‘Liliputs’. Награды: ADR, 2004; золотая медаль, серебряная медаль; Silver Certificate, The Hague, 2006.",
